sepal_length,sepal_width,petal_length,petal_width,Species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0333,0.9061,0.0606
6.9,3.1,5.1,2.3,virginica,0.0002,0.0496,0.9502
5.1,2.5,3.0,1.1,versicolor,0.1825,0.8136,0.0039
4.4,2.9,,0.2,setosa,0.8699,0.13,0.0
5.9,3.0,5.1,1.8,virginica,0.0084,0.3167,0.6749
5.5,3.5,1.3,0.2,setosa,0.9914,0.0086,0.0
5.6,,3.6,1.3,versicolor,0.2015,0.7829,0.0156
6.5,3.0,5.2,2.0,virginica,0.0009,0.1304,0.8687
5.3,3.7,1.5,0.2,setosa,0.9967,0.0033,0.0
5.1,3.4,1.5,,setosa,0.9588,0.0412,0.0
6.1,2.8,4.0,1.3,versicolor,0.0428,0.9101,0.0471
5.5,2.4,3.7,1.0,versicolor,0.0473,0.9408,0.0119
7.7,3.0,6.1,2.3,virginica,0.0,0.007,0.993
6.9,3.1,4.9,1.5,versicolor,0.0101,0.6799,0.31
6.0,2.2,5.0,1.5,virginica,0.0006,0.4171,0.5823
